logPriorICSE,-0.35667494393873245,logPriorVLDB,-1.2039728043259361
Word,Count,CountICSE,CountVLDB,CountDocICSE,CountDocVLDB,logCondProbICSE,logCondProbVLDB
AG,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AGENDA,2,2,0,2,0,-11.054428710310258,-11.33866731138583
AH1N1,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AHEAD,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AHP,5,5,0,5,0,-10.361281529750313,-11.33866731138583
AI,5,5,0,5,0,-10.361281529750313,-11.33866731138583
AIDA,2,0,2,0,2,-12.153040998978367,-10.24005502271772
AIDE,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AIDS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AIDs,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AIM,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AIML,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AISBased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AJAX,2,2,0,2,0,-11.054428710310258,-11.33866731138583
AJAXSearch,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ALAE,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ALE,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ALECompliant,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ALF,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ALHOSN,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ALIAS,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ALgorithms,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AMIDA,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AMIE,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AMNESIA,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AMT,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AN0,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ANALYSIS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AND,3,1,2,1,2,-11.459893818418422,-10.24005502271772
ANDES,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ANDSubtraction,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ANFOR,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ANGIE,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ANSI,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ANSIC,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ANSISPARC,2,0,2,0,2,-12.153040998978367,-10.24005502271772
ANTLR,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ANote,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AODV,2,2,0,2,0,-11.054428710310258,-11.33866731138583
AOP,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AOS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AOSD,2,2,0,2,0,-11.054428710310258,-11.33866731138583
AP,1,1,0,1,0,-11.459893818418422,-11.33866731138583
APE,1,1,0,1,0,-11.459893818418422,-11.33866731138583
API,25,25,0,24,0,-8.894944460956886,-11.33866731138583
APIS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
